Time (ms) - X (V);Amplitude - X (V);Time (ms) - Y (V);Amplitude - Y (V);Time (ms) - Z (V);Amplitude - Z (V);Time (ms) - LED (V);Amplitude - LED (V);Time (ms) - Camera;Amplitude - Camera;Time (ms) - UV;Amplitude - UV
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
13;5;13;5;13;0;13;0;13;1;13;0
14;5;14;5;14;0;14;0;14;1;14;0
14;5;14;5;14;0;14;0;14;1;14;0
14;5;14;5;14;0;14;0;14;1;14;0
14;5;14;5;14;0;14;0;14;1;14;0
14;5;14;5;14;0;14;0;14;1;14;0
14;5;14;5;14;0;14;0;14;1;14;0
14;5;14;5;14;0;14;5;14;1;14;0
14;5;14;5;14;0;14;5;14;1;14;0
14;5;14;5;14;0;14;5;14;1;14;0
14;5;14;5;14;0;14;5;14;1;14;0
14;5;14;5;14;0;14;0;14;1;14;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
15;5;15;5;15;0;15;0;15;1;15;0
16;5;16;5;16;0;16;0;16;1;16;0
16;5;16;5;16;0;16;0;16;1;16;0
16;5;16;5;16;0;16;0;16;1;16;0
16;5;16;5;16;0;16;0;16;1;16;0
16;5;16;5;16;0;16;0;16;1;16;0
16;5;16;5;16;0;16;0;16;1;16;0
16;5;16;5;16;0;16;5;16;1;16;0
16;5;16;5;16;0;16;5;16;1;16;0
16;5;16;5;16;0;16;5;16;1;16;0
16;5;16;5;16;0;16;5;16;1;16;0
16;5;16;5;16;0;16;0;16;1;16;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
17;5;17;5;17;0;17;0;17;1;17;0
18;5;18;5;18;0;18;0;18;1;18;0
18;5;18;5;18;0;18;0;18;1;18;0
18;5;18;5;18;0;18;0;18;1;18;0
18;5;18;5;18;0;18;0;18;1;18;0
18;5;18;5;18;0;18;0;18;1;18;0
18;5;18;5;18;0;18;0;18;1;18;0
18;5;18;5;18;0;18;5;18;1;18;0
18;5;18;5;18;0;18;5;18;1;18;0
18;5;18;5;18;0;18;5;18;1;18;0
18;5;18;5;18;0;18;5;18;1;18;0
18;5;18;5;18;0;18;0;18;1;18;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
19;5;19;5;19;0;19;0;19;1;19;0
20;5;20;5;20;0;20;0;20;1;20;0
20;5;20;5;20;0;20;0;20;1;20;0
20;5;20;5;20;0;20;0;20;1;20;0
20;5;20;5;20;0;20;0;20;1;20;0
20;5;20;5;20;0;20;0;20;1;20;0
20;5;20;5;20;0;20;0;20;1;20;0
20;5;20;5;20;0;20;5;20;1;20;0
20;5;20;5;20;0;20;5;20;1;20;0
20;5;20;5;20;0;20;5;20;1;20;0
20;5;20;5;20;0;20;5;20;1;20;0
20;5;20;5;20;0;20;0;20;1;20;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
21;5;21;5;21;0;21;0;21;1;21;0
22;5;22;5;22;0;22;0;22;1;22;0
22;5;22;5;22;0;22;0;22;1;22;0
22;5;22;5;22;0;22;0;22;1;22;0
22;5;22;5;22;0;22;0;22;1;22;0
22;5;22;5;22;0;22;0;22;1;22;0
22;5;22;5;22;0;22;0;22;1;22;0
22;5;22;5;22;0;22;5;22;1;22;0
22;5;22;5;22;0;22;5;22;1;22;0
22;5;22;5;22;0;22;5;22;1;22;0
22;5;22;5;22;0;22;5;22;1;22;0
22;5;22;5;22;0;22;0;22;1;22;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
23;5;23;5;23;0;23;0;23;1;23;0
24;5;24;5;24;0;24;0;24;1;24;0
24;5;24;5;24;0;24;0;24;1;24;0
24;5;24;5;24;0;24;0;24;1;24;0
24;5;24;5;24;0;24;0;24;1;24;0
24;5;24;5;24;0;24;0;24;1;24;0
24;5;24;5;24;0;24;0;24;1;24;0
24;5;24;5;24;0;24;5;24;1;24;0
24;5;24;5;24;0;24;5;24;1;24;0
24;5;24;5;24;0;24;5;24;1;24;0
24;5;24;5;24;0;24;5;24;1;24;0
24;5;24;5;24;0;24;0;24;1;24;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
25;5;25;5;25;0;25;0;25;1;25;0
26;5;26;5;26;0;26;0;26;1;26;0
26;5;26;5;26;0;26;0;26;1;26;0
26;5;26;5;26;0;26;0;26;1;26;0
26;5;26;5;26;0;26;0;26;1;26;0
26;5;26;5;26;0;26;0;26;1;26;0
26;5;26;5;26;0;26;0;26;1;26;0
26;5;26;5;26;0;26;5;26;1;26;0
26;5;26;5;26;0;26;5;26;1;26;0
26;5;26;5;26;0;26;5;26;1;26;0
26;5;26;5;26;0;26;5;26;1;26;0
26;5;26;5;26;0;26;0;26;1;26;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
27;5;27;5;27;0;27;0;27;1;27;0
28;5;28;5;28;0;28;0;28;1;28;0
28;5;28;5;28;0;28;0;28;1;28;0
28;5;28;5;28;0;28;0;28;1;28;0
28;5;28;5;28;0;28;0;28;1;28;0
28;5;28;5;28;0;28;0;28;1;28;0
28;5;28;5;28;0;28;0;28;1;28;0
28;5;28;5;28;0;28;5;28;1;28;0
28;5;28;5;28;0;28;5;28;1;28;0
28;5;28;5;28;0;28;5;28;1;28;0
28;5;28;5;28;0;28;5;28;1;28;0
28;5;28;5;28;0;28;0;28;1;28;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
29;5;29;5;29;0;29;0;29;1;29;0
30;5;30;5;30;0;30;0;30;1;30;0
30;5;30;5;30;0;30;0;30;1;30;0
